[[Hp(batch_size=256, learning_rate=0.001, p=10), 0.966796875],
 [Hp(batch_size=128, learning_rate=0.001, p=10), 0.9696180555555556],
 [Hp(batch_size=256, learning_rate=0.01, p=5), 0.9697265625],
 [Hp(batch_size=256, learning_rate=0.001, p=5), 0.9697265625],
 [Hp(batch_size=128, learning_rate=0.01, p=5), 0.9704861111111112],
 [Hp(batch_size=16, learning_rate=0.001, p=5), 0.9712171052631579],
 [Hp(batch_size=64, learning_rate=0.001, p=5), 0.9712171052631579],
 [Hp(batch_size=32, learning_rate=0.01, p=5), 0.9720394736842105],
 [Hp(batch_size=64, learning_rate=0.001, p=10), 0.9720394736842105],
 [Hp(batch_size=64, learning_rate=0.01, p=5), 0.9728618421052632],
 [Hp(batch_size=128, learning_rate=0.001, p=5), 0.9730902777777778],
 [Hp(batch_size=256, learning_rate=0.1, p=5), 0.9736328125],
 [Hp(batch_size=64, learning_rate=0.1, p=5), 0.9736842105263158],
 [Hp(batch_size=32, learning_rate=0.001, p=5), 0.9745065789473685],
 [Hp(batch_size=16, learning_rate=0.1, p=10), 0.9745065789473685],
 [Hp(batch_size=16, learning_rate=0.001, p=10), 0.9745065789473685],
 [Hp(batch_size=16, learning_rate=0.1, p=5), 0.975328947368421],
 [Hp(batch_size=256, learning_rate=0.01, p=10), 0.9755859375],
 [Hp(batch_size=16, learning_rate=0.01, p=5), 0.9769736842105263],
 [Hp(batch_size=128, learning_rate=0.1, p=5), 0.9774305555555556],
 [Hp(batch_size=128, learning_rate=0.1, p=10), 0.9774305555555556],
 [Hp(batch_size=128, learning_rate=0.01, p=10), 0.9774305555555556],
 [Hp(batch_size=256, learning_rate=0.001, p=50), 0.9775390625],
 [Hp(batch_size=256, learning_rate=0.1, p=10), 0.978515625],
 [Hp(batch_size=32, learning_rate=0.1, p=5), 0.9786184210526315],
 [Hp(batch_size=32, learning_rate=0.001, p=10), 0.9786184210526315],
 [Hp(batch_size=64, learning_rate=0.01, p=10), 0.9786184210526315],
 [Hp(batch_size=256, learning_rate=0.001, p=100), 0.9794921875],
 [Hp(batch_size=128, learning_rate=0.001, p=50), 0.9800347222222222],
 [Hp(batch_size=64, learning_rate=0.001, p=50), 0.9802631578947368],
 [Hp(batch_size=128, learning_rate=0.001, p=100), 0.9809027777777778],
 [Hp(batch_size=16, learning_rate=0.01, p=10), 0.9810855263157895],
 [Hp(batch_size=32, learning_rate=0.1, p=10), 0.9810855263157895],
 [Hp(batch_size=64, learning_rate=0.1, p=10), 0.9810855263157895],
 [Hp(batch_size=32, learning_rate=0.01, p=10), 0.9827302631578947],
 [Hp(batch_size=32, learning_rate=0.001, p=50), 0.984375],
 [Hp(batch_size=256, learning_rate=0.01, p=50), 0.984375],
 [Hp(batch_size=64, learning_rate=0.001, p=100), 0.984375],
 [Hp(batch_size=64, learning_rate=0.1, p=50), 0.9876644736842105],
 [Hp(batch_size=256, learning_rate=0.1, p=50), 0.98828125],
 [Hp(batch_size=16, learning_rate=0.001, p=50), 0.9884868421052632],
 [Hp(batch_size=16, learning_rate=0.001, p=100), 0.9884868421052632],
 [Hp(batch_size=128, learning_rate=0.01, p=50), 0.9887152777777778],
 [Hp(batch_size=16, learning_rate=0.01, p=50), 0.9893092105263158],
 [Hp(batch_size=32, learning_rate=0.1, p=50), 0.9893092105263158],
 [Hp(batch_size=64, learning_rate=0.01, p=50), 0.9893092105263158],
 [Hp(batch_size=32, learning_rate=0.001, p=100), 0.9893092105263158],
 [Hp(batch_size=32, learning_rate=0.01, p=100), 0.9901315789473685],
 [Hp(batch_size=256, learning_rate=0.01, p=100), 0.990234375],
 [Hp(batch_size=128, learning_rate=0.01, p=100), 0.9904513888888888],
 [Hp(batch_size=32, learning_rate=0.01, p=50), 0.990953947368421],
 [Hp(batch_size=64, learning_rate=0.01, p=100), 0.990953947368421],
 [Hp(batch_size=128, learning_rate=0.1, p=100), 0.9913194444444444],
 [Hp(batch_size=16, learning_rate=0.1, p=100), 0.9917763157894737],
 [Hp(batch_size=64, learning_rate=0.1, p=100), 0.9917763157894737],
 [Hp(batch_size=256, learning_rate=0.1, p=100), 0.9921875],
 [Hp(batch_size=16, learning_rate=0.1, p=50), 0.9925986842105263],
 [Hp(batch_size=16, learning_rate=0.01, p=100), 0.9925986842105263],
 [Hp(batch_size=32, learning_rate=0.1, p=100), 0.993421052631579],
 [Hp(batch_size=128, learning_rate=0.1, p=50), 0.9939236111111112]]
